month,trip_duration_sec,start_station_id,start_station_name,end_station_id,end_station_name,bike_id,user_type,member_birth_year,member_gender,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,start_city,end_city
April,828,30.0,San Francisco Caltrain (Townsend St at 4th St),110.0,17th & Folsom Street Park (17th St at Folsom St),707,Subscriber,1985.0,Male,37.776598,-122.395282,37.7637085,-122.41520420000002,San Francisco,San Francisco
Februrary,784,81.0,Berry St at 4th St,323.0,Broadway at Kearny,4597,Subscriber,1994.0,Male,37.77588,-122.39317,37.79801364395978,-122.40595042705534,San Francisco,San Francisco
April,443,76.0,McCoppin St at Valencia St,5.0,Powell St BART Station (Market St at 5th St),5029,Subscriber,1964.0,Male,37.77166246221617,-122.42242321372034,37.78389935708493,-122.40844488143921,San Francisco,San Francisco
March,571,30.0,San Francisco Caltrain (Townsend St at 4th St),15.0,San Francisco Ferry Building (Harry Bridges Plaza),6138,Subscriber,1982.0,Male,37.776598,-122.395282,37.795392,-122.394203,San Francisco,San Francisco
March,219,153.0,59th St at Horton St,156.0,Stanford Ave at Hollis St,2780,Subscriber,1995.0,Male,37.84094520000001,-122.2913604,37.8384435,-122.2886647,Oakland/Berkeley,Oakland/Berkeley
April,546,180.0,Telegraph Ave at 23rd St,186.0,Lakeside Dr at 14th St,2880,Subscriber,1985.0,Female,37.8126783,-122.2687726,37.8013189,-122.2626418,Oakland/Berkeley,Oakland/Berkeley
April,621,370.0,Jones St at Post St,114.0,Rhode Island St at 17th St,6867,Subscriber,1982.0,Male,37.7873267660624,-122.41327822208405,37.7644783,-122.4025701,San Francisco,San Francisco
January,469,44.0,Civic Center/UN Plaza BART Station (Market St at McAllister St),87.0,Folsom St at 13th St,5477,Subscriber,1984.0,Male,37.7810737,-122.4117382,37.769757,-122.415674,San Francisco,San Francisco
April,633,88.0,11th St at Bryant St,97.0,14th St at Mission St,1142,Subscriber,1973.0,Male,37.7700298,-122.4117258,37.7682646,-122.4201102,San Francisco,San Francisco
Februrary,273,104.0,4th St at 16th St,81.0,Berry St at 4th St,3586,Subscriber,1990.0,Female,37.76704457969368,-122.39083349704742,37.77588,-122.39317,San Francisco,San Francisco
May,665,67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St),36.0,Folsom St at 3rd St,3609,Subscriber,1995.0,Female,37.77663920000001,-122.3955263,37.78383,-122.39887,San Francisco,San Francisco
January,773,85.0,Church St at Duboce Ave,19.0,Post St at Kearny St,802,Subscriber,1988.0,Male,37.7700831,-122.4291557,37.788975,-122.403452,San Francisco,San Francisco
January,321,78.0,Folsom St at 9th St,67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St),5012,Subscriber,1994.0,Male,37.7737172,-122.4116467,37.77663920000001,-122.3955263,San Francisco,San Francisco
April,511,285.0,Webster St at O'Farrell St,70.0,Central Ave at Fell St,5504,Subscriber,1994.0,Male,37.78352083526095,-122.43115782737732,37.77331087889723,-122.44429260492323,San Francisco,San Francisco
May,968,44.0,Civic Center/UN Plaza BART Station (Market St at McAllister St),92.0,Mission Bay Kids Park,1473,Subscriber,1986.0,Male,37.7810737,-122.4117382,37.772300631747626,-122.39302754402159,San Francisco,San Francisco
March,525,62.0,Victoria Manalo Draves Park,66.0,3rd St at Townsend St,4931,Subscriber,1987.0,Female,37.77779057034257,-122.40643188357352,37.77874161153677,-122.39274082710837,San Francisco,San Francisco
May,1996,8.0,The Embarcadero at Vallejo St,399.0,Bay St at Fillmore St,3026,Customer,1995.0,Female,37.799953,-122.398525,37.80263594974903,-122.4362888932228,San Francisco,San Francisco
April,1013,114.0,Rhode Island St at 17th St,55.0,Webster St at Grove St,1123,Subscriber,1990.0,Male,37.7644783,-122.4025701,37.7770527,-122.4295585,San Francisco,San Francisco
March,266,73.0,Pierce St at Haight St,53.0,Grove St at Divisadero,6560,Subscriber,1973.0,Male,37.7717933,-122.43370790000002,37.77594600000001,-122.4377775,San Francisco,San Francisco
April,2109,74.0,Laguna St at Hayes St,147.0,29th St at Tiffany Ave,4571,Subscriber,1989.0,Male,37.77643481920474,-122.42624402046205,37.74406670000001,-122.4214722,San Francisco,San Francisco
Februrary,806,67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St),112.0,Harrison St at 17th St,75,Subscriber,1991.0,Male,37.77663920000001,-122.3955263,37.7638471,-122.41300359999998,San Francisco,San Francisco
May,747,58.0,Market St at 10th St,11.0,Davis St at Jackson St,3319,Subscriber,1987.0,Male,37.776619,-122.417385,37.79728,-122.398436,San Francisco,San Francisco
April,1005,102.0,Irwin St at 8th St,371.0,Lombard St at Columbus Ave,4714,Subscriber,1970.0,Male,37.7668828,-122.3995794,37.80274615250053,-122.41357862949371,San Francisco,San Francisco
March,672,196.0,Grand Ave at Perkins St,163.0,Lake Merritt BART Station,3552,Customer,1989.0,Male,37.80889393398715,-122.25646018981932,37.7973195,-122.2653199,Oakland/Berkeley,Oakland/Berkeley
May,288,42.0,San Francisco City Hall (Polk St at Grove St),88.0,11th St at Bryant St,2820,Subscriber,1993.0,Female,37.77865,-122.41823,37.7700298,-122.4117258,San Francisco,San Francisco
January,964,55.0,Webster St at Grove St,67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St),5481,Subscriber,1992.0,Female,37.7770527,-122.4295585,37.77663920000001,-122.3955263,San Francisco,San Francisco
Februrary,396,386.0,24th St at Bartlett St,129.0,Harrison St at 20th St,2395,Subscriber,1980.0,Female,37.75210498442358,-122.41972357034685,37.758862,-122.412544,San Francisco,San Francisco
March,290,3.0,Powell St BART Station (Market St at 4th St),43.0,San Francisco Public Library (Grove St at Hyde St),6644,Subscriber,1980.0,Male,37.78637526861584,-122.40490436553956,37.7787677,-122.4159292,San Francisco,San Francisco
May,501,321.0,5th St at Folsom,21.0,Montgomery St BART Station (Market St at 2nd St),2100,Subscriber,1983.0,Male,37.78014570345598,-122.40307085237872,37.7896254,-122.400811,San Francisco,San Francisco
Februrary,80,243.0,Bancroft Way at College Ave,239.0,Bancroft Way at Telegraph Ave,4508,Subscriber,1987.0,Male,37.8693603,-122.2543374,37.8688126,-122.258764,Oakland/Berkeley,Oakland/Berkeley
January,512,23.0,The Embarcadero at Steuart St,13.0,Commercial St at Montgomery St,2287,Subscriber,1994.0,Male,37.79146400000001,-122.391034,37.794231,-122.402923,San Francisco,San Francisco
March,929,26.0,1st St at Folsom St,112.0,Harrison St at 17th St,6488,Subscriber,1993.0,Male,37.78729000000001,-122.39438,37.7638471,-122.41300359999998,San Francisco,San Francisco
April,452,67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St),25.0,Howard St at 2nd St,38,Subscriber,1982.0,Male,37.77663920000001,-122.3955263,37.78752178045625,-122.39740490913393,San Francisco,San Francisco
March,671,324.0,Union Square (Powell St at Post St),67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St),4832,Customer,1992.0,Male,37.78829997815083,-122.40853071212769,37.77663920000001,-122.3955263,San Francisco,San Francisco
April,565,74.0,Laguna St at Hayes St,51.0,Parker Ave at McAllister St,6298,Subscriber,1980.0,Male,37.77643481920474,-122.42624402046205,37.77610091264586,-122.4530929327011,San Francisco,San Francisco
May,438,23.0,The Embarcadero at Steuart St,9.0,Broadway at Battery St,3658,Subscriber,1993.0,Male,37.79146400000001,-122.391034,37.79857210846257,-122.40086898207666,San Francisco,San Francisco
